Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Accessory size (product.metafields.shopify.accessory-size),Age group (product.metafields.shopify.age-group),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Battery size (product.metafields.shopify.battery-size),Blade material (product.metafields.shopify.blade-material),Body area (product.metafields.shopify.body-area),Book cover type (product.metafields.shopify.book-cover-type),Bristle material (product.metafields.shopify.bristle-material),Bristle shape (product.metafields.shopify.bristle-shape),Brush material (product.metafields.shopify.brush-material),Carry options (product.metafields.shopify.carry-options),Cleaning surfaces (product.metafields.shopify.cleaning-surfaces),Closure type (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Decoration material (product.metafields.shopify.decoration-material),Drawing/Painting kit items included (product.metafields.shopify.drawing-painting-kit-items-included),Dry/Wet cleaning (product.metafields.shopify.dry-wet-cleaning),Features (product.metafields.shopify.features),Flash card theme (product.metafields.shopify.flash-card-theme),Genre (product.metafields.shopify.genre),Hair styling tool features (product.metafields.shopify.hair-styling-tool-features),Handle material (product.metafields.shopify.handle-material),Handle type (product.metafields.shopify.handle-type),Language version (product.metafields.shopify.language-version),Light source (product.metafields.shopify.light-source),Light temperature (product.metafields.shopify.light-temperature),Marker tip design (product.metafields.shopify.marker-tip-design),Massage technique (product.metafields.shopify.massage-technique),Material (product.metafields.shopify.material),Nebulizer design (product.metafields.shopify.nebulizer-design),Nebulizer technology (product.metafields.shopify.nebulizer-technology),Office instrument material (product.metafields.shopify.office-instrument-material),Pencil sharpener design (product.metafields.shopify.pencil-sharpener-design),Plate type (product.metafields.shopify.plate-type),Power source (product.metafields.shopify.power-source),Razor flexibility (product.metafields.shopify.razor-flexibility),Razor head design (product.metafields.shopify.razor-head-design),Recommended age group (product.metafields.shopify.recommended-age-group),Roller head (product.metafields.shopify.roller-head),Roller material (product.metafields.shopify.roller-material),Roller type (product.metafields.shopify.roller-type),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Target audience (product.metafields.shopify.target-audience),Toy/Game material (product.metafields.shopify.toy-game-material),Usage conditions (product.metafields.shopify.usage-conditions),Vehicle application area (product.metafields.shopify.vehicle-application-area),Vehicle decor features (product.metafields.shopify.vehicle-decor-features),Vehicle type (product.metafields.shopify.vehicle-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
large-capacity-travel-duffle-bag,Large Capacity Travel Duffle Bag,"<p>This large capacity foldable travel duffle bag is designed for convenient packing during travel, gym or vacation use. Waterproof oxford fabric provides durability while expandable design increases storage space when needed. Foldable structure allows compact storage inside luggage as extra bag. Lightweight yet strong construction makes it ideal for carry on travel, weekend trips and daily outdoor use while keeping belongings organized and protected.</p>",Rover Mart,Luggage & Bags > Duffel Bags,"","",false,Title,Default Title,,,,,,,,DUFFLE-FOLD-EXPAND-TRAVEL-01,500.0,shopify,10,deny,manual,349.00,999.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1012/9830/7153/files/61nPWm4ViDL._SL1080.jpg?v=1770721122,1,"",false,,,,,waterproof; lightweight,polyester,external-pockets; single-compartment,,,,,,,,handle; shoulder-strap,,,blue; pink; gray; multicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,archived
large-capacity-travel-duffle-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1012/9830/7153/files/61am9IQiOTL.jpg?v=1770721122,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large-capacity-travel-duffle-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1012/9830/7153/files/51O2Tg6KnDL.jpg?v=1770721122,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large-capacity-travel-duffle-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1012/9830/7153/files/51rIVQiuxcL.jpg?v=1770721122,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large-capacity-travel-duffle-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1012/9830/7153/files/61MOvNveQFL.jpg?v=1770721122,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large-capacity-travel-duffle-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1012/9830/7153/files/61ozq4okyKL._SL1500.jpg?v=1770721122,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large-capacity-travel-duffle-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1012/9830/7153/files/71cWDC83uLL._SL1500.jpg?v=1770721122,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large-capacity-travel-duffle-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1012/9830/7153/files/71PVT5K-A5L._SL1500.jpg?v=1770721122,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large-capacity-travel-duffle-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1012/9830/7153/files/81H4dwjs31L._SL1500.jpg?v=1770721122,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large-capacity-travel-duffle-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1012/9830/7153/files/615jtmRkPKL._SL1372.jpg?v=1770721122,10,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large-capacity-travel-duffle-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1012/9830/7153/files/6179GRut7IL.jpg?v=1770721122,11,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
winter-beanie-cap-muffler-set,Winter Beanie Cap Muffler Set,"<p>This winter beanie cap and muffler set provides complete cold protection for head, ears and neck during winter season. Soft woolen material traps heat effectively while remaining comfortable for daily wear. Stretchable beanie ensures snug fit and muffler can be wrapped multiple times for extra warmth. Lightweight design makes it suitable for travel, biking, outdoor activities and everyday winter fashion use.</p>",Rover Mart,Apparel & Accessories > Clothing Accessories > Hats > Winter Hats,"","",true,Title,Default Title,,,,,,,,BEANIE-MUFFLER-WINTERSET-01,0.0,shopify,10,deny,manual,199.00,499.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1012/9830/7153/files/ChatGPTImageFeb10_2026_03_18_19PM.png?v=1770720990,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
winter-beanie-cap-muffler-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1012/9830/7153/files/ChatGPTImageFeb10_2026_03_18_54PM.png?v=1770721004,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
winter-beanie-cap-muffler-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1012/9830/7153/files/ChatGPTImageFeb10_2026_03_18_46PM.png?v=1770721004,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
winter-beanie-cap-muffler-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1012/9830/7153/files/ChatGPTImageFeb10_2026_03_18_50PM.png?v=1770721004,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
winter-beanie-cap-muffler-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1012/9830/7153/files/ChatGPTImageFeb10_2026_03_21_28PM.png?v=1770720989,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
winter-beanie-cap-muffler-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1012/9830/7153/files/ChatGPTImageFeb10_2026_03_24_33PM.png?v=1770720989,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multifunction-push-up-workout-board,Multifunction Push Up Workout Board,"<p>This multifunction push up board is designed to improve upper body workouts by providing color coded positions that target chest, shoulders, triceps and back muscles effectively. Detachable handles ensure better grip and correct posture while reducing wrist strain. Lightweight portable design makes it perfect for home gym training, beginners and advanced fitness users. Ideal for strength training, bodyweight workouts and improving pushup performance at home.</p>",Rover Mart,Sporting Goods > Fitness & General Exercise Equipment > Push Up & Pull Up Bars,"","",true,Title,Default Title,,,,,,,,PUSHBOARD-MULTI-HOMEFIT-01,400.0,shopify,10,deny,manual,399.00,699.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1012/9830/7153/files/ChatGPTImageFeb10_2026_02_41_16PM.png?v=1770715987,1,"",false,,,,,,,,,,,,,,,,,,geometric,,,,,,,,,,,,,,,plastic; rubber,,,,,,,,,,,,,,,,,,,,,kg,,,active
multifunction-push-up-workout-board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1012/9830/7153/files/ChatGPTImageFeb10_2026_02_54_51PM.png?v=1770715987,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multifunction-push-up-workout-board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1012/9830/7153/files/ChatGPTImageFeb10_2026_02_56_18PM.png?v=1770715987,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
